High level and sub-level descriptions of vulnerability/ threat,,,Example of vulnerability or attack method,
4.3.1 Threats regarding back-end servers related to vehicles in the field,1,Back-end servers used as a means to attack a vehicle or extract data,1.1,Abuse of privileges by staff (insider attack)
,,,1.2,"Unauthorized internet access to the server (enabled for example by backdoors, unpatched system software vulnerabilities, SQL attacks or other means)"
,,,1.3,Unauthorized physical access to the server (conducted by for example USB sticks or other media connecting to the server)
,2,"Services from back-end server being disrupted, affecting the operation of a vehicle",2.1,"Attack on back-end server stops it functioning, for example it prevents it from interacting with vehicles and providing services they rely on"
,3,"Vehicle related data held on back-end servers being lost or compromised (""data breach"")",3.1,Abuse of privileges by staff (insider attack)
,,,3.2,Loss of information in the cloud. Sensitive data may be lost due to attacks or accidents when data is stored by third-party cloud service providers
,,,3.3,"Unauthorized internet access to the server (enabled for example by backdoors, unpatched system software vulnerabilities, SQL attacks or other means)"
,,,3.4,Unauthorized physical access to the server (conducted for example by USB sticks or other media connecting to the server)
,,,3.5,Information breach by unintended sharing of data (e.g. admin errors)
4.3.2 Threats to vehicles regarding their communication channels,4,Spoofing of messages or data received by the vehicle,4.1,"Spoofing of messages by impersonation (e.g. 802.11p V2X during platooning, GNSS messages, etc.)"
,,,4.2,Sybil attack (in order to spoof other vehicles as if there are many vehicles on the road)
,5,"Communication channels used to conduct unauthorized manipulation, deletion or other amendments to vehicle held code/data",5.1,"Communications channels permit code injection, for example tampered software binary might be injected into the communication stream"
,,,5.2,Communications channels permit manipulate of vehicle held data/code
,,,5.3,Communications channels permit overwrite of vehicle held data/code
,,,5.4,Communications channels permit erasure of vehicle held data/code
,,,5.5,Communications channels permit introduction of data/code to the vehicle (write data code)
,6,Communication channels permit untrusted/unreliable messages to be accepted or are vulnerable to session hijacking/replay attacks,6.1,Accepting information from an unreliable or untrusted source
,,,6.2,Man in the middle attack/ session hijacking
,,,6.3,"Replay attack, for example an attack against a communication gateway allows the attacker to downgrade software of an ECU or firmware of the gateway"
,7,"Information can be readily disclosed. For example, through eavesdropping on communications or through allowing unauthorized access to sensitive files or folders",7.1,Interception of information / interfering radiations / monitoring communications
,,,7.2,Gaining unauthorized access to files or data
,8,Denial of service attacks via communication channels to disrupt vehicle functions,8.1,"Sending a large number of garbage data to vehicle information system, so that it is unable to provide services in the normal manner"
,,,8.2,"Black hole attack, in order to disrupt communication between vehicles the attacker is able to block messages between the vehicles"
,9,An unprivileged user is able to gain privileged access to vehicle systems,9.1,"An unprivileged user is able to gain privileged access, for example root access"
,10,Viruses embedded in communication media are able to infect vehicle systems,10.1,Virus embedded in communication media infects vehicle systems
,11,"Messages received by the vehicle (for example X2V or diagnostic messages), or transmitted within it, contain malicious content",11.1,Malicious internal (e.g. CAN) messages
