Table A1 reference,"Threats to ""Vehicle communication channels""",Ref,Mitigation
4.1,"Spoofing of messages (e.g. 802.11p V2X during platooning, GNSS messages, etc.) by impersonation",M10,The vehicle shall verify the authenticity and integrity of messages it receives
4.2,Sybil attack (in order to spoof other vehicles as if there are many vehicles on the road),M11,"Security controls shall be implemented for storing cryptographic keys (e.g., use of Hardware Security Modules)"
5.1,"Communication channels permit code injection into vehicle held data/code, for example tampered software binary might be injected into the communication stream","M10


M6","The vehicle shall verify the authenticity and integrity of messages it receives
Systems shall implement security by design to minimize risks"
5.2,Communication channels permit manipulation of vehicle held data/code,M7,Access control techniques and designs shall be applied to protect system data/code
5.3,Communication channels permit overwrite of vehicle held data/code,,
"5.4
21.1",Communication channels permit erasure of vehicle held data/code,,
5.5,Communication channels permit introduction of data/code to vehicle systems (write data code),,
6.1,Accepting information from an unreliable or untrusted source,M10,The vehicle shall verify the authenticity and integrity of messages it receives
6.2,Man in the middle attack / session hijacking,M10,The vehicle shall verify the authenticity and integrity of messages it receives
6.3,"Replay attack, for example an attack against a communication gateway allows the attacker to downgrade software of an ECU or firmware of the gateway",,
7.1,Interception of information / interfering radiations / monitoring communications,M12,Confidential data transmitted to or from the vehicle shall be protected
7.2,Gaining unauthorized access to files or data,M8,Through system design and access control it should not be possible for unauthorized personnel to access personal or system critical data. Example of Security Controls can be found in OWASP
8.1,"Sending a large number of garbage data to vehicle information system, so that it is unable to provide services in the normal manner",M13,Measures to detect and recover from a denial of service attack shall be employed
8.2,"Black hole attack, disruption of communication between vehicles by blocking the transfer of messages to other vehicles",M13,Measures to detect and recover from a denial of service attack shall be employed
9.1,"An unprivileged user is able to gain privileged access, for example root access",M9,Measures to prevent and detect unauthorized access shall be employed
10.1,Virus embedded in communication media infects vehicle systems,M14,Measures to protect systems against embedded viruses/malware should be considered
11.1,Malicious internal (e.g. CAN) messages,M15,Measures to detect malicious internal messages or activity should be considered
11.2,"Malicious V2X messages, e.g. infrastructure to vehicle or vehicle-vehicle messages (e.g. CAM, DENM)",M10,The vehicle shall verify the authenticity and integrity of messages it receives
11.3,Malicious diagnostic messages,,
11.4,Malicious proprietary messages (e.g. those normally sent from OEM or component/system/function supplier),,
12.1,Compromise of over the air software update procedures. This includes fabricating the system update program or firmware,M16,Secure software update procedures shall be employed
12.2,Compromise of local/physical software update procedures. This includes fabricating the system update program or firmware,,
12.3,"The software is manipulated before the update process (and is therefore corrupted), although the update process is intact",,
12.4,Compromise of cryptographic keys of the software provider to allow invalid update,M11,Security controls shall be implemented for storing cryptographic keys
13.1,Denial of Service attack against update server or network to prevent rollout of critical software updates and/or unlock of customer specific features,M3,Security Controls shall be applied to back-end systems. Where back-end servers are critical to the provision of services there are recovery measures in case of system outage. Example Security Controls can be found in OWASP
15.1,"Innocent victim (e.g. owner, operator or maintenance engineer) is tricked into taking an action to unintentionally load malware or enable an attack",M18,"Measures shall be implemented for defining and controlling user roles and access privileges, based on the principle of least access privilege"
15.2,Defined security procedures are not followed,M19,Organizations shall ensure security procedures are defined and followed including logging of actions and access related to the management of the security functions
16.1,"Manipulation of functions designed to remotely operate vehicle systems, such as remote key, immobiliser, and charging pile",M20,Security controls shall be applied to systems that have remote access
16.2,"Manipulation of vehicle telematics (e.g. manipulate temperature measurement of sensitive goods, remotely unlock cargo doors)",,
16.3,Interference with short range wireless systems or sensors,,
17.1,"Corrupted applications, or those with poor software security, used as a method to attack vehicle systems",M21,"Software shall be security assessed, authenticated and integrity protected. 
Security controls shall be applied to minimise the risk from third party software that is intended or foreseeable to be hosted on the vehicle"
18.1,"External interfaces such as USB or other ports used as a point of attack, for example through code injection",M22,Security controls shall be applied to external interfaces
18.2,Media infected with viruses connected to the vehicle,,
18.3,"Diagnostic access (e.g. dongles in OBD port) used to facilitate an attack, e.g. manipulate vehicle parameters (directly or indirectly)",M22,Security controls shall be applied to external interfaces
19.1,Extraction of copyright or proprietary software from vehicle systems (product piracy / stolen software),M7,Access control techniques and designs shall be applied to protect system data/code. Example Security Controls can be found in OWASP
19.2,"Unauthorized access to the owner’s privacy information such as personal identity, payment account information, address book information, location information, vehicle’s electronic ID, etc.",M8,Through system design and access control it should not be possible for unauthorized personnel to access personal or system critical data. Examples of Security Controls can be found in OWASP
19.3,Extraction of cryptographic keys,M11,Security controls shall be implemented for storing cryptographic keys e.g. Security Modules
20.1,Illegal/unauthorised changes to vehicle’s electronic ID,M7,Access control techniques and designs shall be applied to protect system data/code. Example Security Controls can be found in OWASP
20.2,"Identity fraud. For example, if a user wants to display another identity when communicating with toll systems, manufacturer backend",,
20.3,"Action to circumvent monitoring systems (e.g. hacking/ tampering/ blocking of messages such as ODR Tracker data, or number of runs)",M7,"Access control techniques and designs shall be applied to protect system data/code. Example Security Controls can be found in OWASP.
Data manipulation attacks on sensors or transmitted data could be mitigated by correlating the data from different sources of information"
20.4,"Data manipulation to falsify vehicle’s driving data (e.g. mileage, driving speed, driving directions, etc.)",,
20.5,Unauthorised changes to system diagnostic data,,
21.1,Unauthorized deletion/manipulation of system event logs,M7,Access control techniques and designs shall be applied to protect system data/code. Example Security Controls can be found in OWASP.
22.2,Introduce malicious software or malicious software activity,M7,Access control techniques and designs shall be applied to protect system data/code. Example Security Controls can be found in OWASP.
23.1,Fabrication of software of the vehicle control system or information system,,
24.1,"Denial of service, for example this may be triggered on the internal network by flooding a CAN bus, or by provoking faults on an ECU via a high rate of messaging",M13,Measures to detect and recover from a denial of service attack shall be employed
25.1,"Unauthorized access to falsify configuration parameters of vehicle’s key functions, such as brake data, airbag deployed threshold, etc.",M7,Access control techniques and designs shall be applied to protect system data/code. Example Security Controls can be found in OWASP
25.2,"Unauthorized access to falsify charging parameters, such as charging voltage, charging power, battery temperature, etc.",,
26.1,Combination of short encryption keys and long period of validity enables attacker to break encryption,M23,Cybersecurity best practices for software and hardware development shall be followed
26.2,Insufficient use of cryptographic algorithms to protect sensitive systems,,
26.3,Using deprecated cryptographic algorithms,,
27.1,"Hardware or software, engineered to enable an attack or fail to meet design criteria to stop an attack",M23,Cybersecurity best practices for software and hardware development shall be followed
